source_id,page,category,requirement_id,architecture_component,database_entity_step1,service,agent,event,api,test,implementation_status,canonical_component,architecture_document,adr_id,architecture_status,implementation_phase,database_domain,database_entity,contract,schema,data_policy,ingestion_component,ingestion_entity,implementation_reference,test_reference,step3_implementation_status
SRC-000001,1,SOURCE_WORKFLOW,REQ-000002;REQ-000030,Bidding Pipeline (System B),,,Sanitizer,,,,not_started,Security/Sanitization (recon variant),subsystems.md;security.md,,COMPOSITE_MAPPING (HISTORICAL_ONLY-for-B;INTERPRETATION-for-A),15,SECURITY,security_event;content_sanitization_result,N/A (System B),N/A,UNMAPPED_DATA_REQUIREMENT-for-A,N/A,N/A,N/A,N/A,NOT_YET_IMPLEMENTED (out of Step 3 ingestion scope)
SRC-000002,1,USER_REQUIREMENT,REQ-000001,System Boundary,,,,,,,not_started,System Boundaries,system-boundaries.md,ADR-0001,DIRECT_MAPPING,1,N/A,N/A,N/A,N/A,N/A (scoping decision; not data),N/A,N/A,N/A,N/A,NOT_YET_IMPLEMENTED (out of Step 3 ingestion scope)
SRC-000003,1,AI_PROPOSAL,REQ-000002,Bidding Pipeline (System B),,,,,,,not_started,Bidding Pipeline,system-boundaries.md,,HISTORICAL_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_YET_IMPLEMENTED (out of Step 3 ingestion scope)
SRC-000004,1,SOURCE_WORKFLOW,REQ-000003,Learning Loop,,,Strategist,,,,not_started,Memory/RAG,memory.md,,HISTORICAL_ONLY,N/A,MEMORY,memory_item;memory_source,N/A (System B),N/A,DERIVED_REBUILDABLE,N/A,N/A,N/A,N/A,NOT_YET_IMPLEMENTED (out of Step 3 ingestion scope)
SRC-000005,2,SOURCE_WORKFLOW,REQ-000002;REQ-000031,Bidding Pipeline (System B),,,Writer;Reviewer,,,,not_started,Bidding Pipeline,system-boundaries.md,,HISTORICAL_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_YET_IMPLEMENTED (out of Step 3 ingestion scope)
SRC-000006,2,SOURCE_STRATEGY,REQ-000004,Strategist Policy,,,Strategist,,,,not_started,Strategy Learning,strategy-learning.md,,COMPOSITE_MAPPING,14,STRATEGY,strategy;strategy_version,strategy.md,N/A,LONG_TERM,N/A,N/A,N/A,N/A,"NOT_YET_IMPLEMENTED (System B / analytics, out of Step 3 scope)"
SRC-000007,2,SOURCE_SCHEMA,REQ-000005,,Strategy Ledger,,,,,,not_started,Strategy Learning,strategy-learning.md,,COMPOSITE_MAPPING,14,STRATEGY,strategy_ledger,strategy.md,N/A,MUST_PRESERVE,N/A,N/A,N/A,N/A,"NOT_YET_IMPLEMENTED (System B / analytics, out of Step 3 scope)"
SRC-000008,2,USER_REQUIREMENT,REQ-000006,System Boundary,,,,,,,not_started,Manufacturing Boundary,manufacturing-boundary.md,,DIRECT_MAPPING,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"NOT_YET_IMPLEMENTED (System C / intelligence classification, out of Step 3 scope)"
SRC-000009,2,AI_PROPOSAL,REQ-000009,Recon Engine,,,,,,,not_started,Lead Ingestion,subsystems.md,,COMPOSITE_MAPPING,4,RAW,raw_record,N/A,N/A,MUST_PRESERVE (UNDECIDED duration),Raw Record Store,RawRecord;IngestionItem;IngestionRun,src/raw/models.py;src/raw/store.py;src/ingestion/engine.py,tests/raw/test_round_trip.py;tests/test_data_loss.py;tests/ingestion/test_engine_pipeline.py,IMPLEMENTED
SRC-000010,3,SOURCE_SCHEMA,REQ-000007,,EngineeringJobSpec,,,,,,not_started,Technical Classification,data-domains.md,,DIRECT_MAPPING,6,TECHNICAL,technical_classification,lead.md (technical_specifications),lead.v1.schema.json,MUST_PRESERVE,N/A,N/A,N/A,N/A,NOT_YET_IMPLEMENTED (out of Step 3 ingestion scope)
SRC-000011,3,SOURCE_SCHEMA,REQ-000007,,ManufacturingDomain,,,,,,not_started,Technical Classification,manufacturing-boundary.md,,DIRECT_MAPPING,6,TECHNICAL,manufacturing_domain_definition,lead.md,lead.v1.schema.json,MUST_PRESERVE,N/A,N/A,N/A,N/A,NOT_YET_IMPLEMENTED (out of Step 3 ingestion scope)
SRC-000012,3,SOURCE_STRATEGY,REQ-000008,Recon Engine,,,,,,,not_started,Deterministic Triage,subsystems.md,,DIRECT_MAPPING,5,RAW,raw_record (security_status),N/A,N/A,CONFIGURABLE,Raw Record Store,RawRecord;IngestionItem;IngestionRun,src/raw/models.py;src/raw/store.py;src/ingestion/engine.py,tests/raw/test_round_trip.py;tests/test_data_loss.py;tests/ingestion/test_engine_pipeline.py,IMPLEMENTED
SRC-000013,4,SOURCE_SCHEMA,REQ-000009,Recon Engine,,,,,,,not_started,Lead Ingestion,subsystems.md,,COMPOSITE_MAPPING,4,RAW,raw_record,N/A,N/A,MUST_PRESERVE (UNDECIDED duration),Raw Record Store,RawRecord;IngestionItem;IngestionRun,src/raw/models.py;src/raw/store.py;src/ingestion/engine.py,tests/raw/test_round_trip.py;tests/test_data_loss.py;tests/ingestion/test_engine_pipeline.py,IMPLEMENTED
SRC-000014,4,AI_PROPOSAL,,,,,,,,,not_started,Source Registry,subsystems.md,,DIRECT_MAPPING,8,LEAD,platform,platform.md,N/A,MUST_PRESERVE,Ingestion Engine (lead-candidate observation),Observation,src/observations/models.py;src/ingestion/lead_candidate.py;src/schemas/detection.py,tests/ingestion/test_engine_pipeline.py;tests/observations/test_normalizer.py,PARTIAL -- CANONICAL_LEAD_SCHEMA_DEFERRED (Step 3 Section 23)
SRC-000015,4,SOURCE_PLATFORM,,,Platform,,,,,,not_started,Platform Intelligence,subsystems.md,,DIRECT_MAPPING,8,LEAD,platform,platform.md,N/A,MUST_PRESERVE,Source Registry,Source;SourceVersion;SourcePolicy,src/sources/models.py;src/sources/registry.py,tests/sources/test_registry.py,IMPLEMENTED
SRC-000016,5,SOURCE_STRATEGY,,,,,,,,,not_started,Strategy Intelligence,subsystems.md,,DIRECT_MAPPING,14,STRATEGY,strategy,strategy.md,N/A,LONG_TERM,N/A,N/A,N/A,N/A,"NOT_YET_IMPLEMENTED (System B / analytics, out of Step 3 scope)"
SRC-000017,5,USER_REQUIREMENT,REQ-000010,System Boundary,,,,,,,not_started,Channel Intelligence,subsystems.md,,DIRECT_MAPPING,8,LEAD,macro_channel,platform.md,N/A,MUST_PRESERVE,Source Registry,Source;SourceVersion;SourcePolicy,src/sources/models.py;src/sources/registry.py,tests/sources/test_registry.py,IMPLEMENTED
SRC-000018,5,AI_PROPOSAL,REQ-000010,,,,,,,,not_started,Channel Intelligence,subsystems.md,,DIRECT_MAPPING,8,LEAD,macro_channel,platform.md,N/A,MUST_PRESERVE,Source Registry,Source;SourceVersion;SourcePolicy,src/sources/models.py;src/sources/registry.py,tests/sources/test_registry.py,IMPLEMENTED
